drugmort,aamort,chmort,infmort,physdistr,mentdistr,diabetic,hiv,foodins,healthyfood,mvmort,sleep,uninsure,chuninsure,healthcost,othpcp,disconyouth,houseincome,freelunch,segbw,segnww,homicide,firearm,under18,over65,aframer,amerindian,asian,hawaiin,hispanic,nonhispanicw,nonenglish,female,rural,lifelost,fairhealth,unhdays,mentunhdeays,lowbirth,smokers,obese,foodindex,physinactive,accessexercise,excdrinking,alcoholdrive,chlamydia,teenbirth,uninsureunder65,prevhospital,hba1c,mammogram,graduation,somecollege,laborforce,unemployed,chpoverty,chpovertyb,chpovertyhis,chpovertyw,X80income,X20income,singparent,socialassoc,violcrime,severehous,commute,new_pcp_ratio,new_mhp_ratio,new_othpcp_ratio,new_dent_ratio
2.302585093,6.230481448,3.931825633,2.302585093,2.63905733,2.63905733,15,145,17,3,2.995732274,3.583518938,20,4,9.250137842,61,18,10.50108703,59,50,43,1.791759469,2.302585093,22,2.995732274,13,0.7,0.5,0,1.6,82.8,0.7,51.8,69.7,9.202106567,3.044522438,1.526056303,4.4,2.302585093,19,34,7.2,33,51,13,30,6.025865974,63,15,4.59511985,81,59.6,95,52.2,15456,7.1,34,58,8,26,73752,9.680156484,3.610917913,12.7,5.609471795,2.708050201,25,1995,7.596392304,7.405495663,7.97590836
3.218875825,6.184148891,3.931825633,1.945910149,2.564949357,2.63905733,14,66,13,3,3.091042453,3.555348061,21,5,9.201904893,65,16,10.57872531,53,67,28,1.098612289,2.63905733,22.4,2.884800713,1.4,0.6,0.5,0.1,4.4,92,0.9,50.6,73.2,9.204020443,3.044522438,1.504077397,4.4,2.197224577,18,33,7.8,26,38,13,26,5.765191103,53,16,3.931825633,89,65.4,91,54.6,36181,5.3,25,48,64,21,77324,9.728717412,3.401197382,12.2,5.135798437,2.63905733,35,1890,6.770789424,7.344072851,7.651120176
2.48490665,6.077642243,3.828641396,1.791759469,2.63905733,2.63905733,14,304,18,10,2.833213344,3.713572067,18,4,9.238927829,73,14,10.72092985,62,32,27,2.079441542,2.63905733,23.4,2.753660712,19.7,0.8,1.4,0.2,6.3,69.4,1,50.7,50.9,8.99788945,3.044522438,1.526056303,4.7,2.079441542,19,37,6.2,27,48,15,51,6.350885717,42,14,4.094344562,88,60,90,61.2,19758,6.4,29,52,35,16,83346,9.695232614,3.555348061,12.3,5.894402834,2.564949357,26,4124,7.200424893,7.227662499,7.977968093
2.079441542,6.408528791,4.110873864,2.079441542,2.890371758,2.833213344,19,409,30,12,3.218875825,3.784189634,19,3,9.221577004,32,31,10.29829608,70,54,53,3.218875825,3.401197382,25.1,2.791165108,69.3,0.2,0.4,0,0.9,28.4,0.1,53.7,45.6,9.467150781,3.33220451,1.704748092,5,2.564949357,23,41,3.4,31,59,10,61,6.745236349,61,14,4.110873864,78,63.9,90,47.3,15566,9.6,50,61,48,24,67258,9.196444267,4.262679877,14.4,6.651571874,3.17805383,27,1438,7.791109511,8.059592329,8.059592329
3.044522438,6.192362489,4.007333185,1.791759469,2.708050201,2.708050201,13,91,13,2,2.995732274,3.583518938,27,7,9.209840247,39,21,10.52688264,65,65,35,1.609437912,2.708050201,24.7,2.772588722,1.8,2.1,0.4,0.7,14.1,80.6,3.7,50.7,90.1,9.173883835,3.091042453,1.609437912,4.7,2.197224577,22,30,8,30,40,13,33,5.620400866,53,21,4.158883083,88,58.2,92,41.6,28858,6,29,26,43,18,71947,9.674011493,3.33220451,8.6,5.802118375,2.63905733,30,2369,8.687442167,7.83991936,8.127699853
1.945910149,6.068425588,4.356708827,2.079441542,2.48490665,2.564949357,13,215,15,7,3.091042453,3.526360525,15,4,9.17222305,23,24,10.88833373,52,27,27,1.945910149,2.772588722,22.8,2.667228207,21.1,0.4,0.7,0.1,2.8,73.4,0.9,51.4,54.2,9.093132171,2.833213344,1.360976553,4.3,2.197224577,18,35,7.2,29,68,17,43,6.289715571,39,11,4.127134385,85,65.6,90,53.3,36075,5.1,20,36,39,15,99532,10.07221716,3.465735903,10.4,5.620400866,2.48490665,47,3681,9.110741007,8.363575703,8.910045761
3.433987204,6.302618976,4.219507705,1.945910149,2.772588722,2.708050201,18,171,21,8,3.17805383,3.663561646,22,5,9.33273498,32,32,10.51433949,69,36,34,2.397895273,2.772588722,22.2,2.821378886,32.2,3.5,0.3,0.1,2.1,60.4,0.2,48.7,63.5,9.248791558,3.218875825,1.648658626,4.8,2.302585093,21,38,5.8,32,56,12,49,6.22059017,63,17,4.65396035,79,64.4,84,39.6,14575,7,32,43,48,23,68728,9.472473841,3.850147602,14.8,6.180016654,2.63905733,31,2516,7.706612914,8.054840221,7.974876901
2.995732274,6.300785795,4.356708827,2.48490665,2.63905733,2.63905733,17,171,17,9,2.772588722,3.688879454,19,4,9.38345299,60,22,10.64887133,61,65,59,1.791759469,2.708050201,21.9,2.87356464,15.5,0.6,0.8,0.3,3.7,78.2,1.4,51.7,37.5,9.344783849,2.995732274,1.504077397,4.5,2.079441542,19,35,6.6,33,44,12,32,6.472346295,49,15,4.343805422,82,56,84,53.1,43203,6.1,31,56,52,23,78271,9.729669736,3.63758616,16.2,6.298949247,2.63905733,27,1294,6.989335266,7.415776975,7.630946581
3.135494216,6.313548046,4.262679877,1.945910149,2.708050201,2.63905733,14,37,15,4,3.044522438,3.63758616,25,6,9.339700577,35,21,10.5593222,69,53,50,1.791759469,2.995732274,24.5,2.778819272,4,1.5,0.4,0.2,16.4,77.6,4.8,50,70.4,9.354440716,3.135494216,1.547562509,4.7,2.197224577,20,33,7.4,35,59,13,27,5.749392986,56,20,4.553876892,85,56.7,93,40.3,13615,6.4,32,28,48,31,71599,9.691160294,3.784189634,10.4,5.843544417,2.772588722,34,2107,9.670798588,7.965892735,8.284504227
2.708050201,6.042632834,4.356708827,2.302585093,2.564949357,2.63905733,14,297,18,7,2.772588722,3.63758616,17,4,9.210040327,107,20,10.68207821,63,49,45,1.386294361,2.708050201,23.6,2.803360381,26.4,0.5,0.9,0.1,3.4,67.2,0.7,52.1,33.8,9.054621797,2.995732274,1.458615023,4.5,2.302585093,20,33,6.4,26,53,13,18,6.621405652,49,13,3.951243719,87,65.1,93,57.2,44743,6.2,30,52,53,16,85709,9.747418367,3.761200116,13,5.966146739,2.63905733,28,1120,6.749931194,6.843749949,7.379632153
